,Rank_x,Country,Gold,Silver,Bronze,Total,population,gdp_per_capita_usd,temperature,Sport,Sport_Gold,Sport_Silver,Sport_Bronze,Sport_Total
90,16,Czechia,2,2,1,5,10712479,31761.5944102491,9.5184,Biathlon,0,0,1,1
91,16,Czechia,2,2,1,5,10712479,31761.5944102491,9.5184,Snowboard,1,1,0,2
92,16,Czechia,2,2,1,5,10712479,31761.5944102491,9.5184,Speed Skating,1,1,0,2
93,17,Slovenia,2,1,1,4,2124212,32660.4753581346,11.048,Ski Jumping,2,1,1,4
94,18,Spain,1,0,2,3,48710759,33493.2225409111,14.830000000000002,Ski Mountaineering,1,0,2,3
95,19,Brazil,1,0,0,1,213491851,10377.5897719195,24.606,Alpine Skiing,1,0,0,1
96,19,Kazakhstan,1,0,0,1,20800815,12879.4275257974,7.1556,Figure Skating,1,0,0,1
97,21,Poland,0,3,1,4,37587594,22145.2660647429,9.7012,Ski Jumping,0,2,1,3
98,21,Poland,0,3,1,4,37587594,22145.2660647429,9.7012,Speed Skating,0,1,0,1
99,22,New Zealand,0,2,1,3,5314739,49075.9562832927,12.08,Freestyle Skiing,0,0,1,1
100,22,New Zealand,0,2,1,3,5314739,49075.9562832927,12.08,Snowboard,0,2,0,2
101,23,Finland,0,1,5,6,5639673,52834.2916752703,5.6714,Biathlon,0,0,1,1
102,23,Finland,0,1,5,6,5639673,52834.2916752703,5.6714,Cross-Country Skiing,0,0,1,1
103,23,Finland,0,1,5,6,5639673,52834.2916752703,5.6714,Ice Hockey,0,0,1,1
104,23,Finland,0,1,5,6,5639673,52834.2916752703,5.6714,Nordic Combined,0,1,2,3
105,24,Latvia,0,1,1,2,1829717,22710.2637544197,7.7102,Luge,0,1,0,1
106,24,Latvia,0,1,1,2,1829717,22710.2637544197,7.7102,Short Track Speed Skating,0,0,1,1
107,25,Denmark,0,1,0,1,6025989,68043.5466971243,9.682599999999999,Speed Skating,0,1,0,1
108,25,Estonia,0,1,0,1,1347008,30264.0064885057,7.1536,Freestyle Skiing,0,1,0,1
109,25,Georgia,0,1,0,1,3754571,8283.66960652261,9.4212,Figure Skating,0,1,0,1
110,28,Bulgaria,0,0,2,2,6552509,15853.208636704,12.198,Biathlon,0,0,1,1
111,28,Bulgaria,0,0,2,2,6552509,15853.208636704,12.198,Snowboard,0,0,1,1
112,29,Belgium,0,0,1,1,11851553,55291.4754541329,11.126,Short Track Speed Skating,0,0,1,1
